epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3504,1.38325,2.55687,1.85813,0.89798,0.23624,0.25603,0.15705,1.49109,3.26039,2.35946,0.000325,0.000325,0.067825
2,23.5684,1.24147,1.85483,1.75334,0.44038,0.35367,0.23643,0.09938,1.75608,4.39722,2.48517,0.000658173,0.000658173,0.0348248
3,33.5143,1.18677,1.71208,1.71637,0.40734,0.56402,0.36185,0.14641,1.79128,5.58963,2.41284,0.000990698,0.000990698,0.00182403
4,43.4163,1.17748,1.62357,1.69951,0.51365,0.37206,0.2649,0.10174,1.6644,2.89926,2.15785,0.000997803,0.000997803,0.000997803
5,53.1705,1.21987,1.63741,1.74206,0.50566,0.61622,0.55866,0.24554,1.58339,2.91484,2.17083,0.000996097,0.000996097,0.000996097
6,62.9081,1.20341,1.6051,1.72951,0.56552,0.57576,0.56009,0.22596,1.83267,2.38633,2.29941,0.000993906,0.000993906,0.000993906
7,72.8589,1.13861,1.48529,1.65858,0.59133,0.62734,0.53826,0.27396,1.42366,1.96079,1.94397,0.000991232,0.000991232,0.000991232
8,82.6901,1.13237,1.48927,1.64224,0.5178,0.62628,0.59907,0.32403,1.37659,1.65976,1.82409,0.000988079,0.000988079,0.000988079
9,92.38,1.11726,1.43393,1.64591,0.55522,0.65875,0.65553,0.32013,1.48038,1.75604,1.90006,0.000984449,0.000984449,0.000984449
10,102.118,1.10896,1.44067,1.63488,0.5661,0.55578,0.55111,0.27881,1.52294,1.83892,1.9611,0.000980345,0.000980345,0.000980345
11,111.932,1.13497,1.45679,1.66371,0.63827,0.66264,0.60364,0.32176,1.45152,1.69706,1.96353,0.000975773,0.000975773,0.000975773
12,121.855,1.08894,1.40704,1.63453,0.67954,0.55099,0.59513,0.31637,1.51365,1.76822,1.91647,0.000970736,0.000970736,0.000970736
13,131.837,1.06058,1.35004,1.58892,0.63674,0.63109,0.64734,0.34855,1.35853,1.55547,1.79732,0.000965239,0.000965239,0.000965239
14,141.265,1.09528,1.40564,1.62487,0.66114,0.70156,0.70572,0.38772,1.29127,1.48208,1.69069,0.000959289,0.000959289,0.000959289
15,150.839,1.04999,1.35144,1.59291,0.69302,0.69003,0.732,0.40625,1.32327,1.41545,1.73182,0.000952889,0.000952889,0.000952889
16,160.327,1.03873,1.3676,1.58268,0.7156,0.64854,0.70695,0.40152,1.29152,1.45413,1.72935,0.000946048,0.000946048,0.000946048
17,169.845,1.03655,1.2897,1.57086,0.63976,0.73255,0.67798,0.36825,1.2672,1.36124,1.73156,0.000938772,0.000938772,0.000938772
18,179.39,1.01788,1.24587,1.53742,0.68894,0.70247,0.7144,0.39159,1.24171,1.44002,1.70619,0.000931067,0.000931067,0.000931067
19,188.783,1.00988,1.22364,1.54172,0.61633,0.6844,0.70847,0.40403,1.3526,1.50932,1.75647,0.000922942,0.000922942,0.000922942
20,198.356,1.03309,1.25503,1.57241,0.74698,0.65841,0.73952,0.42165,1.35628,1.41687,1.75746,0.000914405,0.000914405,0.000914405
21,207.869,1.03002,1.29728,1.56789,0.67378,0.67969,0.73385,0.37505,1.42421,1.58616,1.82012,0.000905463,0.000905463,0.000905463
22,217.536,0.98132,1.23777,1.53769,0.57434,0.68094,0.65222,0.36826,1.35289,1.5333,1.76779,0.000896127,0.000896127,0.000896127
23,227.203,1.02911,1.27303,1.55641,0.66362,0.66893,0.68174,0.38631,1.31284,1.39685,1.75327,0.000886404,0.000886404,0.000886404
24,236.806,0.95926,1.22323,1.5191,0.69587,0.74904,0.77413,0.4174,1.25998,1.40812,1.68347,0.000876305,0.000876305,0.000876305
25,246.346,0.95505,1.19462,1.51305,0.67575,0.7066,0.6959,0.39064,1.28663,1.34652,1.69907,0.000865839,0.000865839,0.000865839
26,255.926,0.93687,1.17996,1.49132,0.69663,0.76184,0.7609,0.44891,1.16833,1.295,1.59906,0.000855018,0.000855018,0.000855018
27,265.559,0.95759,1.1735,1.49884,0.70195,0.79992,0.78966,0.48276,1.14607,1.16485,1.51743,0.000843851,0.000843851,0.000843851
28,275.166,0.95064,1.1548,1.49652,0.70495,0.7322,0.76909,0.47552,1.11183,1.20521,1.49785,0.000832349,0.000832349,0.000832349
29,284.766,0.94111,1.13174,1.47903,0.75218,0.70211,0.75328,0.44177,1.22706,1.39151,1.59873,0.000820525,0.000820525,0.000820525
30,294.39,0.95412,1.1961,1.51196,0.7852,0.76256,0.7855,0.46748,1.2331,1.18246,1.63111,0.000808389,0.000808389,0.000808389
31,303.872,0.92247,1.15008,1.49548,0.7634,0.68998,0.73676,0.43304,1.25334,1.20903,1.64785,0.000795954,0.000795954,0.000795954
