epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9138,1.46353,1.7075,1.98453,0.40735,0.41626,0.32909,0.16067,2.04928,3.01233,2.80967,0.000325,0.000325,0.067825
2,33.4755,1.2864,1.51858,1.76791,0.62058,0.53014,0.52892,0.26799,1.71794,2.00175,2.22357,0.000658293,0.000658293,0.034825
3,45.9877,1.26718,1.44289,1.7281,0.58503,0.61713,0.59557,0.31104,1.6098,1.82705,1.98423,0.000991424,0.000991424,0.00182476
4,58.4966,1.28583,1.5092,1.73965,0.61094,0.64017,0.67611,0.37868,1.51342,1.62049,1.92133,0.00099945,0.00099945,0.00099945
5,70.768,1.25896,1.47141,1.72939,0.64228,0.67963,0.67079,0.32957,1.58704,1.57503,2.00671,0.000999023,0.000999023,0.000999023
6,83.0102,1.25898,1.47711,1.7358,0.60235,0.71199,0.67776,0.32961,1.60076,1.58457,2.0599,0.000998474,0.000998474,0.000998474
7,95.2966,1.19823,1.44137,1.69363,0.64424,0.65212,0.66754,0.34141,1.54686,1.5837,1.97976,0.000997803,0.000997803,0.000997803
8,107.679,1.19879,1.43237,1.70267,0.67287,0.71843,0.7072,0.35219,1.56775,1.47218,2.02404,0.000997011,0.000997011,0.000997011
9,119.957,1.16885,1.39321,1.65464,0.68966,0.62777,0.67386,0.37363,1.46614,1.44733,1.85948,0.000996097,0.000996097,0.000996097
10,132.145,1.18304,1.3583,1.6584,0.68641,0.59774,0.62205,0.35224,1.54004,1.52924,1.95666,0.000995062,0.000995062,0.000995062
11,144.64,1.16019,1.41216,1.66993,0.67159,0.65764,0.69089,0.41457,1.44271,1.31997,1.81954,0.000993906,0.000993906,0.000993906
12,157.372,1.17712,1.39628,1.67953,0.63984,0.64739,0.66015,0.35448,1.48626,1.44642,1.88499,0.000992629,0.000992629,0.000992629
13,169.579,1.13424,1.34053,1.62891,0.74864,0.65271,0.69356,0.3571,1.52333,1.45493,1.95137,0.000991232,0.000991232,0.000991232
14,182.064,1.14542,1.37212,1.65312,0.66484,0.73202,0.72365,0.39119,1.41658,1.37275,1.82049,0.000989715,0.000989715,0.000989715
15,195.295,1.13778,1.32113,1.63127,0.72296,0.63405,0.70867,0.3913,1.5118,1.35508,1.92154,0.000988079,0.000988079,0.000988079
16,207.555,1.13014,1.33591,1.65168,0.73326,0.67143,0.70984,0.3562,1.50287,1.35244,1.93323,0.000986323,0.000986323,0.000986323
17,219.507,1.14082,1.32991,1.63117,0.6556,0.67828,0.69001,0.39094,1.44529,1.43854,1.84893,0.000984449,0.000984449,0.000984449
18,231.668,1.1411,1.35354,1.64462,0.67576,0.65579,0.66085,0.35789,1.51414,1.53199,1.94014,0.000982456,0.000982456,0.000982456
19,243.875,1.1106,1.3422,1.63723,0.61327,0.64642,0.65386,0.36209,1.47055,1.40844,1.87264,0.000980345,0.000980345,0.000980345
20,256.087,1.14071,1.36583,1.64793,0.78168,0.69537,0.72507,0.39734,1.51482,1.40195,1.8989,0.000978118,0.000978118,0.000978118
21,268.277,1.12456,1.33504,1.62898,0.70875,0.71629,0.70666,0.38419,1.50051,1.3548,1.89307,0.000975773,0.000975773,0.000975773
22,280.388,1.09059,1.28263,1.59166,0.71769,0.70167,0.72448,0.42075,1.41974,1.32497,1.79514,0.000973312,0.000973312,0.000973312
23,292.93,1.07074,1.2612,1.58251,0.75213,0.71077,0.74299,0.42789,1.46358,1.24611,1.84937,0.000970736,0.000970736,0.000970736
24,305.068,1.10169,1.29602,1.60819,0.82277,0.604,0.68308,0.3821,1.40264,1.39335,1.76983,0.000968045,0.000968045,0.000968045
25,317.01,1.087,1.28572,1.59704,0.75782,0.7278,0.76197,0.43121,1.47626,1.31143,1.81627,0.000965239,0.000965239,0.000965239
26,329.056,1.08262,1.28432,1.58943,0.71767,0.69615,0.72405,0.41933,1.44299,1.24922,1.83147,0.00096232,0.00096232,0.00096232
27,341.229,1.09435,1.29437,1.60173,0.71402,0.70683,0.71183,0.40685,1.44804,1.32579,1.81725,0.000959289,0.000959289,0.000959289
28,353.411,1.10045,1.28538,1.60508,0.70766,0.71224,0.69938,0.41615,1.39937,1.3838,1.76753,0.000956145,0.000956145,0.000956145
29,365.595,1.06024,1.31407,1.60148,0.73707,0.73074,0.75191,0.43429,1.38226,1.25979,1.75061,0.000952889,0.000952889,0.000952889
30,377.715,1.08629,1.30693,1.60809,0.67503,0.66221,0.66381,0.38084,1.47393,1.45666,1.8629,0.000949524,0.000949524,0.000949524
31,389.759,1.04703,1.24639,1.57275,0.64602,0.71077,0.68448,0.38046,1.46077,1.41167,1.87216,0.000946048,0.000946048,0.000946048
