epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6971,1.16828,2.76215,1.58802,0.96135,0.057,0.29971,0.16266,1.37567,3.06173,1.81613,0.000361075,0.000361075,0.000361075
2,26.9755,1.05065,1.96563,1.53431,0.40996,0.45882,0.42708,0.23301,1.52582,2.18061,2.06705,0.000724167,0.000724167,0.000724167
3,37.0627,1.04525,1.7462,1.50056,0.40455,0.45955,0.42814,0.2175,1.53951,2.46826,2.06936,0.00107993,0.00107993,0.00107993
4,46.9705,1.03428,1.63048,1.48804,0.43485,0.53332,0.44083,0.19315,1.71381,3.07493,2.23338,0.001078,0.001078,0.001078
5,56.9911,1.01662,1.64326,1.48729,0.51317,0.54704,0.54297,0.2943,1.45923,1.86162,2.04268,0.001067,0.001067,0.001067
6,67.017,1.01498,1.57199,1.48855,0.57837,0.54702,0.56014,0.21694,1.92898,2.25031,2.35008,0.00105601,0.00105601,0.00105601
7,76.8352,0.99402,1.50342,1.46298,0.50975,0.54592,0.52941,0.2993,1.47586,1.72025,1.9011,0.00104501,0.00104501,0.00104501
8,86.8301,0.94245,1.43473,1.42807,0.53194,0.61103,0.62725,0.31283,1.61389,1.69819,1.96844,0.00103401,0.00103401,0.00103401
9,96.937,0.97086,1.41246,1.44547,0.5828,0.60502,0.6295,0.30731,1.60148,1.70372,2.04062,0.00102301,0.00102301,0.00102301
10,106.705,0.92501,1.35735,1.42315,0.54595,0.60224,0.60797,0.31905,1.55161,1.67689,2.07932,0.00101201,0.00101201,0.00101201
11,116.471,0.95,1.35509,1.44717,0.61972,0.5973,0.62335,0.35306,1.41149,1.49097,1.80896,0.00100101,0.00100101,0.00100101
12,126.352,0.92673,1.33782,1.41842,0.59637,0.64732,0.63378,0.34734,1.36602,1.61007,1.8124,0.000990012,0.000990012,0.000990012
13,136.391,0.90057,1.32395,1.40439,0.77908,0.55255,0.63807,0.35961,1.39205,1.46187,1.7678,0.000979013,0.000979013,0.000979013
14,148.79,0.90463,1.29774,1.39594,0.77293,0.62651,0.67463,0.39575,1.27044,1.45285,1.70955,0.000968014,0.000968014,0.000968014
15,162.236,0.89525,1.24417,1.39297,0.45887,0.51497,0.4735,0.27926,1.44862,1.95408,1.89394,0.000957015,0.000957015,0.000957015
16,172.334,0.90211,1.22117,1.40447,0.65314,0.53853,0.60995,0.34793,1.39095,1.47312,1.82361,0.000946016,0.000946016,0.000946016
17,182.441,0.86428,1.17886,1.36834,0.66509,0.67843,0.70858,0.40671,1.34164,1.43701,1.72083,0.000935018,0.000935018,0.000935018
18,192.204,0.85969,1.15948,1.37937,0.54191,0.59959,0.60316,0.34083,1.47865,1.56978,1.86656,0.000924019,0.000924019,0.000924019
19,201.846,0.8805,1.13719,1.36728,0.70402,0.65745,0.70853,0.41311,1.36513,1.45161,1.73343,0.00091302,0.00091302,0.00091302
20,211.404,0.8719,1.18502,1.38169,0.74622,0.56911,0.65952,0.39269,1.32742,1.51352,1.77638,0.000902021,0.000902021,0.000902021
21,220.944,0.82663,1.07147,1.33091,0.63485,0.65817,0.70557,0.39908,1.34931,1.412,1.79928,0.000891022,0.000891022,0.000891022
22,230.369,0.8498,1.11066,1.34105,0.67211,0.71948,0.72906,0.43686,1.29823,1.2517,1.71866,0.000880023,0.000880023,0.000880023
23,239.927,0.87205,1.10801,1.37095,0.75793,0.62824,0.69502,0.42165,1.29136,1.34362,1.68748,0.000869024,0.000869024,0.000869024
24,249.582,0.82271,1.09851,1.32619,0.66596,0.70519,0.72736,0.44212,1.33316,1.28693,1.6769,0.000858025,0.000858025,0.000858025
25,259.134,0.83568,1.09019,1.33774,0.71325,0.65641,0.70188,0.42166,1.31169,1.32901,1.68405,0.000847026,0.000847026,0.000847026
26,268.757,0.83866,1.09285,1.35696,0.71959,0.77869,0.78963,0.47835,1.25756,1.2215,1.62042,0.000836027,0.000836027,0.000836027
27,278.467,0.80878,1.07314,1.32129,0.71392,0.73146,0.7547,0.45817,1.25725,1.22219,1.63305,0.000825029,0.000825029,0.000825029
28,288.035,0.812,1.04919,1.33587,0.71685,0.7132,0.75901,0.46338,1.25038,1.2093,1.59719,0.00081403,0.00081403,0.00081403
29,297.811,0.82258,1.03558,1.33362,0.82136,0.66813,0.74739,0.4676,1.26775,1.21455,1.61129,0.000803031,0.000803031,0.000803031
30,307.574,0.82141,1.05588,1.33193,0.69546,0.69846,0.72006,0.42097,1.32132,1.27838,1.69537,0.000792032,0.000792032,0.000792032
31,317.273,0.79601,1.02238,1.31713,0.66013,0.72928,0.74485,0.4565,1.24269,1.30362,1.60467,0.000781033,0.000781033,0.000781033
32,326.912,0.79336,1.05625,1.32191,0.78411,0.72459,0.75491,0.47203,1.3086,1.19248,1.63489,0.000770034,0.000770034,0.000770034
33,336.614,0.80874,0.99719,1.31299,0.79673,0.71254,0.75499,0.46903,1.25266,1.15951,1.61994,0.000759035,0.000759035,0.000759035
34,346.437,0.78456,1.00161,1.3073,0.65973,0.77148,0.77105,0.46491,1.28896,1.20868,1.64564,0.000748036,0.000748036,0.000748036
35,356.236,0.78417,0.97078,1.2915,0.78372,0.69167,0.77893,0.48793,1.26941,1.19479,1.59935,0.000737037,0.000737037,0.000737037
36,365.962,0.75872,0.98713,1.29306,0.68512,0.71416,0.75817,0.46944,1.35826,1.29871,1.70383,0.000726038,0.000726038,0.000726038
37,375.602,0.79174,0.98248,1.31833,0.74544,0.7669,0.78325,0.4879,1.2139,1.10047,1.5887,0.00071504,0.00071504,0.00071504
38,385.28,0.77271,0.95927,1.30583,0.76877,0.72425,0.77225,0.4886,1.26075,1.19204,1.6487,0.000704041,0.000704041,0.000704041
39,395.097,0.79138,0.98693,1.3155,0.68929,0.72023,0.75048,0.45308,1.24787,1.19943,1.61276,0.000693042,0.000693042,0.000693042
40,404.87,0.75495,0.93233,1.2819,0.7269,0.73763,0.76391,0.49275,1.24828,1.12756,1.60093,0.000682043,0.000682043,0.000682043
41,414.573,0.73431,0.88407,1.25358,0.70762,0.7713,0.76241,0.4662,1.27636,1.13623,1.62185,0.000671044,0.000671044,0.000671044
